     Ix       Turn             x              px               y              py               z              pz         spin_x    spin_y    spin_z    State
      1        200 -3.36852800E-05  2.23004083E-04 -4.07993645E-08 -1.67709092E-05  1.85009907E-02  7.59877402E-04     0.035856  0.024704  0.999052    Alive
        2      200 -1.16577500E-05  4.13093190E-04 -7.60082718E-08 -4.67696371E-05  1.09685017E-02 -2.38867618E-04     0.027554  0.002946  0.999616    Alive
        3      200  2.19765588E-05  4.11954180E-04  9.24093121E-08  2.68458849E-06  1.89602172E-02 -7.07591830E-04     0.014259 -0.006448  0.999878    Alive
        4      200  4.01707701E-05  3.37608296E-04  7.25419332E-08 -4.27222278E-05  1.30994974E-02  3.27848835E-04     0.029488  0.001402  0.999564    Alive
        5      200 -1.41216468E-05 -2.45118528E-04  1.07511555E-07 -1.07568438E-05  2.80428351E-02 -1.90946013E-04    -0.007431  0.000733  0.999972    Alive
        6      200  1.22760534E-05  1.73428844E-05  2.48131451E-07  1.89744212E-05  1.76535275E-02  8.40975686E-04     0.023912  0.022836  0.999453    Alive
        7      200  3.17262800E-05  3.27968807E-04  1.26583451E-07  6.52276308E-05  2.08488563E-02  7.20948260E-04     0.013024  0.018528  0.999744    Alive
        8      200  7.21947430E-07  6.17171015E-04  8.75910555E-08  3.49629585E-05  1.37079766E-02 -6.86568956E-04     0.031809 -0.000594  0.999494    Alive
        9      200  1.72825439E-05  5.16529112E-04  1.47729613E-07 -2.60203903E-05  1.16839618E-02  8.19229401E-04     0.010488 -0.000622  0.999945    Alive
       10      200  2.65198439E-06 -1.96564834E-05  3.23887075E-08 -4.82371627E-05  1.02587242E-02  6.06155421E-04     0.029557  0.002427  0.999560    Alive
       11      200  4.35235127E-06  3.90002419E-04  1.83595798E-07 -1.07115041E-05  1.93734747E-02  6.08617499E-04     0.004737  0.020233  0.999784    Alive
       12      200  2.01565658E-06 -1.24573860E-04  2.95360121E-09 -4.08360471E-05  9.32261793E-03  1.97433495E-04     0.019494 -0.002607  0.999807    Alive
       13      200 -2.73783669E-05  1.16267442E-04  1.78303182E-08  4.65948634E-05  1.22135076E-02  1.92284322E-03     0.053396  0.017363  0.998422    Alive
       14      200  3.30319938E-05 -2.93118992E-04  3.06066319E-08 -6.79469073E-05  1.51416371E-02  2.65044516E-04     0.009392 -0.004525  0.999946    Alive
       15      200 -1.09508506E-05  3.98608874E-05 -8.50814342E-08 -1.15480310E-05  2.52007597E-02  7.61146431E-04     0.003952  0.029031  0.999571    Alive
       16      200 -3.95096260E-06  4.80233614E-04  3.66077515E-08  5.90671370E-06  2.53371819E-02 -2.31687031E-05     0.006017  0.020083  0.999780    Alive
       17      200  6.90222447E-06  5.43554115E-05 -8.82773683E-08  4.64676112E-05  1.51842586E-02  1.77249572E-04     0.013499  0.009555  0.999863    Alive
       18      200  1.19568706E-05  5.92977682E-04  1.08669474E-07 -3.51089036E-05  1.25308300E-02 -7.25441772E-04     0.008327  0.003282  0.999960    Alive
       19      200  2.14120651E-05  2.40937967E-04  9.28308739E-08  3.28531302E-05  1.98748356E-02  2.63754516E-04     0.013068  0.003823  0.999907    Alive
       20      200 -1.97452253E-05 -5.90276910E-04 -8.73344299E-08 -3.77693768E-05  1.22182795E-02 -1.10408557E-03     0.017134 -0.003687  0.999846    Alive
       21      200  7.86522027E-06  3.43083837E-04  4.68726995E-08 -4.80669866E-05  2.03178831E-02 -2.69266493E-04     0.001910  0.003817  0.999991    Alive
       22      200  9.96577297E-06 -1.48409631E-04  4.62305509E-08  1.17774663E-04  1.66985592E-02  1.91803881E-04     0.008144  0.001631  0.999966    Alive
       23      200  4.53066890E-05 -1.55390463E-04 -1.01225768E-08 -8.46506130E-05  1.77419624E-02 -1.37578809E-03    -0.025966 -0.017747  0.999505    Alive
       24      200 -1.33364241E-05  4.53287259E-04 -8.58511857E-08  1.50146319E-04  7.57519286E-03 -2.50974915E-05     0.020017  0.018224  0.999634    Alive
       25      200  5.24127877E-06  3.69773783E-04  3.32741187E-09 -1.64655578E-04  1.55916390E-02 -1.03397729E-03    -0.000656 -0.018534  0.999828    Alive
       26      200  1.28349879E-05  9.79833803E-05  1.05785824E-07  1.02469503E-04  2.03345210E-02  2.11130402E-04     0.003743  0.011194  0.999930    Alive
       27      200  1.67548732E-05  6.32232172E-04 -1.82299121E-08 -1.29995330E-04  2.37153089E-02  2.01560085E-05     0.010258  0.009974  0.999898    Alive
       28      200  3.02950584E-05  1.94539357E-04  1.23236896E-07 -2.78542029E-05  1.76626716E-02  7.25995075E-05     0.018614  0.013622  0.999734    Alive
       29      200 -2.49461180E-05  2.26591430E-04 -1.56096510E-09 -1.89606137E-05  2.31722392E-02  2.45760411E-04     0.005030  0.018157  0.999822    Alive
       30      200 -4.29557751E-06  6.72273242E-04  3.70252197E-08 -1.55728428E-06  1.05354452E-02 -1.24498567E-04     0.018885  0.005903  0.999804    Alive
       31      200  3.49197412E-06  2.57360278E-04  7.42026673E-09  7.17278675E-05  2.18615887E-02 -3.71010400E-04    -0.002606  0.003601  0.999990    Alive
       32      200 -2.49570020E-06  4.61889170E-04 -1.82514613E-07 -3.05510436E-04  9.01104291E-03  6.82464872E-04     0.027501 -0.004695  0.999611    Alive
       33      200  1.76812844E-05 -2.99534499E-04  5.43256893E-08  8.41744676E-05  2.12690888E-02 -3.77917208E-04    -0.003646  0.006494  0.999972    Alive
       34      200  2.66607560E-05 -3.77561858E-04  1.34739172E-07  9.04598510E-05  1.61266119E-02  3.73417378E-04     0.014478  0.002472  0.999892    Alive
       35      200  2.82992518E-05 -2.03625110E-04  5.57420284E-08  4.56301111E-05  8.84022832E-03 -2.07194104E-04     0.016149  0.007698  0.999840    Alive
       36      200  2.27961799E-05 -1.49899778E-04  7.37962374E-08 -1.11850100E-04  2.41773584E-02  9.12752399E-06     0.001457  0.006041  0.999981    Alive
       37      200 -1.80592969E-05 -3.00399672E-04  2.31048904E-08  5.51552475E-06  9.69586864E-03  6.97627207E-04     0.014010 -0.003724  0.999895    Alive
