     Ix       Turn             x              px               y              py               z              pz         spin_x    spin_y    spin_z    State
       39     1200  6.83458283E-06  2.62714480E-04 -2.32966764E-08 -1.05651991E-04  1.59079439E-02 -4.79364097E-04     0.017634 -0.008367  0.999809    Alive
       41     1200  1.52379921E-05  6.63076767E-04  7.14691244E-08  1.04482145E-05  1.43407227E-02  6.09620729E-04     0.032889 -0.015299  0.999342    Alive
       42     1200 -2.09563930E-05 -1.71761672E-04  2.48684763E-08 -7.16475059E-05  2.54349591E-02 -4.00608460E-04     0.011674 -0.030169  0.999477    Alive
       43     1200 -1.22899308E-05  4.71956468E-05  6.20438093E-07  1.64608908E-04  2.29824918E-02 -2.72777687E-04     0.030884 -0.007244  0.999497    Alive
       44     1200 -1.11160455E-05 -1.24613565E-04  1.09878009E-08  1.67470007E-04  2.06665291E-02 -7.74584147E-04     0.007602 -0.039886  0.999175    Alive
       45     1200 -6.53744475E-06 -1.18853644E-04 -8.31857493E-08  1.97730045E-04  1.16828146E-02 -8.39706150E-05    -0.003524 -0.004671  0.999983    Alive
       46     1200 -9.24946526E-06  9.43300850E-06  1.32628014E-07 -9.08813168E-06  1.61070911E-02  3.00582835E-04     0.010923  0.008685  0.999903    Alive
       47     1200  2.19296576E-05 -1.30280234E-05  5.72319492E-08  1.50027437E-04  1.63237438E-02 -1.98190233E-04    -0.008805 -0.010058  0.999911    Alive
       48     1200  1.03514429E-05  6.96305892E-05  6.40731610E-08 -1.09628732E-04  1.57036546E-02 -6.66200960E-04    -0.004150 -0.025799  0.999659    Alive
       49     1200  1.12822424E-05 -2.33676161E-04 -4.21205373E-08  1.78288842E-05  1.80157419E-02 -4.87473347E-04     0.011948  0.000130  0.999929    Alive
       50     1200 -3.86854557E-05 -8.47782384E-05  1.20586986E-07  1.71447285E-06  1.38406613E-02  5.14665805E-04     0.032263 -0.008454  0.999444    Alive
       51     1200 -2.38270082E-06 -9.41756594E-05  3.21842979E-08 -2.70642785E-04  2.26905300E-02 -1.25581176E-03    -0.017602 -0.044075  0.998873    Alive
       52     1200  1.28235025E-06 -2.71504765E-04  2.99301815E-08 -1.53211587E-05  1.41851622E-02 -4.99389177E-05     0.012776 -0.011842  0.999848    Alive
       53     1200  2.23617477E-06 -1.64535736E-04  1.47791190E-08 -1.16085986E-05  2.01201512E-02 -3.73328063E-04     0.004294 -0.012027  0.999918    Alive
       54     1200 -1.36867101E-05 -5.62091807E-04  1.87606122E-07  4.20222254E-05  2.07530289E-02  3.57664804E-04     0.006807 -0.004601  0.999966    Alive
       55     1200  2.89627020E-06  3.70134441E-04 -6.66524893E-07 -2.60124487E-04  2.70109265E-02  8.98714612E-04    -0.003739 -0.017308  0.999843    Alive
       56     1200  9.87368655E-06  6.39400509E-04  6.40745542E-09  7.48602455E-05  2.12405783E-02 -1.39828611E-04     0.020081  0.015501  0.999678    Alive
       57     1200 -4.68695118E-06 -1.58719851E-04  9.77466092E-09  6.69326934E-05  1.77438002E-02 -6.49013595E-04     0.004094 -0.027870  0.999603    Alive
