     Ix       Turn             x              px               y              py               z              pz        spin_x    spin_y    spin_z    State
       40        0  1.53649163E-05 -3.49861265E-05  1.65526842E-07 -8.95905097E-05  2.23754256E-03  9.03933860E-04     0.000000  0.000000  1.000000    Alive
       41        0 -4.31352014E-05  1.02402208E-05  6.97741665E-08  1.93132214E-05  1.44941694E-02 -3.24149437E-06     0.000000  0.000000  1.000000    Alive
       42        0 -1.44737415E-05  3.64076230E-04 -3.38258621E-08  9.80783859E-07  2.37571750E-02  6.01907156E-04     0.000000  0.000000  1.000000    Alive
       43        0  9.67218561E-06 -1.90577302E-04  1.02737996E-07  3.37840143E-05  2.55954766E-02  7.38347026E-04     0.000000  0.000000  1.000000    Alive
       44        0  4.55332198E-06  2.77061848E-04  1.22668453E-07  1.42571367E-05  1.75449803E-02 -3.98657115E-04     0.000000  0.000000  1.000000    Alive
       45        0  1.45754696E-05  2.14258141E-04  1.76358807E-07  8.37134178E-05  1.28358180E-02 -3.44536901E-04     0.000000  0.000000  1.000000    Alive
       46        0 -3.00568981E-06  1.37285181E-05  1.52514082E-07  6.72883633E-05  2.48463075E-02 -7.63171143E-04     0.000000  0.000000  1.000000    Alive
       47        0  1.84212691E-05 -1.42733981E-05 -5.74020045E-08 -5.50786731E-05  1.86425762E-02 -9.38056931E-04     0.000000  0.000000  1.000000    Alive
       48        0  1.26403530E-05  7.01080374E-05  8.80432129E-08  6.63592291E-06  1.99438470E-02 -8.16115990E-04     0.000000  0.000000  1.000000    Alive
       49        0  8.10144962E-06 -1.15206142E-04  6.05572982E-08  2.14396316E-05  1.41822272E-02  2.26793682E-04     0.000000  0.000000  1.000000    Alive
       50        0  4.20743884E-05 -1.06126219E-05  4.43352167E-08 -1.17572500E-04  1.34745624E-02  7.34823667E-05     0.000000  0.000000  1.000000    Alive
       51        0  3.19983068E-06  1.91127505E-04  1.57795290E-07 -6.66444570E-06  2.02411020E-02 -3.26094108E-04     0.000000  0.000000  1.000000    Alive
       52        0  1.26454456E-05  2.13006196E-04  3.51121150E-08  6.22517995E-05  9.46784605E-03 -8.68169946E-05     0.000000  0.000000  1.000000    Alive
       53        0  1.53108373E-05  1.62065657E-04  3.26616351E-08  8.00636333E-06  1.79136653E-02 -2.56391648E-04     0.000000  0.000000  1.000000    Alive
       54        0  2.91495838E-06  3.71511399E-04  2.73936330E-08  1.03869522E-04  1.25093018E-02 -4.11449995E-05     0.000000  0.000000  1.000000    Alive
       55        0  1.20109634E-05  3.12985118E-06  3.35787272E-08 -8.32819071E-05  7.36158202E-03  4.79543003E-04     0.000000  0.000000  1.000000    Alive
       56        0  2.62428141E-05 -4.01238000E-04  5.83678579E-08 -3.05529356E-05  1.75781050E-02  6.99359607E-04     0.000000  0.000000  1.000000    Alive
       57        0  5.14110231E-06  1.81880065E-04  1.19719393E-07 -2.15277985E-05  1.41626447E-02  2.26181578E-04     0.000000  0.000000  1.000000    Alive
       58        0  5.26868400E-05 -1.74597507E-04  1.59634066E-07  1.76104797E-04  1.64251496E-02 -4.52495742E-04     0.000000  0.000000  1.000000    Alive
       59        0  1.86230023E-05  1.04172085E-05  6.57342982E-08  6.33387990E-05  2.17737708E-02 -1.33523973E-03     0.000000  0.000000  1.000000    Alive
       60        0  1.87119362E-05 -1.83300165E-04  9.88700318E-08 -2.30512382E-05  9.74838137E-03 -2.94632070E-04     0.000000  0.000000  1.000000    Alive
       61        0  2.08444222E-05  3.16978771E-05  1.44817339E-07  4.49630124E-06  1.45630803E-02 -3.19932574E-04     0.000000  0.000000  1.000000    Alive
       62        0  3.01829014E-05 -3.55561030E-05  9.09286772E-08  2.00433618E-05  1.29589903E-02 -4.57043336E-04     0.000000  0.000000  1.000000    Alive
       63        0  3.26871110E-05 -9.48611081E-05  1.76287411E-07 -1.53222822E-04  2.19760219E-02 -9.26946836E-04     0.000000  0.000000  1.000000    Alive
       64        0 -4.41931205E-06  1.12381127E-05  5.11957993E-08 -8.98575875E-05  2.01473566E-02  3.54238956E-04     0.000000  0.000000  1.000000    Alive
       65        0  1.58677273E-05 -1.29180958E-04  1.50303901E-07 -8.25732467E-05  1.68112628E-02  8.06373074E-04     0.000000  0.000000  1.000000    Alive
       66        0  9.16813601E-06  1.54207743E-04  7.29319405E-08  6.27382190E-05  1.82599570E-02 -1.61546589E-04     0.000000  0.000000  1.000000    Alive
       67        0  1.33740448E-05  4.44971155E-04  9.20677121E-08  2.05570465E-05  1.83876717E-02  1.51095730E-04     0.000000  0.000000  1.000000    Alive
       68        0  3.03508527E-05 -1.57210152E-04  2.25471480E-08  1.13991736E-04  1.59251201E-02  3.78531696E-04     0.000000  0.000000  1.000000    Alive
       69        0  7.31246619E-06  5.43931257E-04  1.17405637E-07 -2.13726715E-05  1.52355918E-02 -6.99991992E-04     0.000000  0.000000  1.000000    Alive
       70        0 -1.11305210E-05  1.74253691E-04 -4.64589596E-09 -4.01406834E-05  1.31860424E-02 -1.54414024E-05     0.000000  0.000000  1.000000    Alive
       71        0  4.04164383E-05  2.52411110E-04  1.04013776E-07  2.31775460E-05  1.22651712E-02  9.15739408E-04     0.000000  0.000000  1.000000    Alive
