     Ix       Turn             x              px               y              py               z              pz         spin_x    spin_y    spin_z    State
      1       9400  1.06701351E-05 -9.59666124E-05  1.69371806E-06  3.03603336E-04  1.89695672E-02  7.11266071E-04     0.037231  0.038756  0.998555    Alive
        2     9400 -7.07414676E-06 -5.73786750E-05 -1.03311343E-06 -5.56032177E-04  2.23077375E-02 -2.21867085E-04     0.001201  0.024974  0.999687    Alive
        4     9400 -1.46649789E-05 -1.30335080E-04  1.63934339E-06  9.40708441E-04  1.60877527E-02  7.02950083E-04     0.122973 -0.056817  0.990782    Alive
        6     9400 -2.75201782E-05  1.26635422E-04 -4.25888023E-07 -4.32247383E-04  1.34225234E-02  1.94330830E-04     0.097741 -0.005175  0.995198    Alive
        7     9400 -2.42052739E-05  3.52931067E-05 -6.07935778E-09 -5.06212615E-05  1.78612929E-02 -2.16773024E-05     0.022514  0.001078  0.999746    Alive
        8     9400 -1.12049058E-06 -2.85188978E-04  3.69378516E-08  3.84862020E-05  1.96319872E-02  4.37032151E-04     0.020712  0.044990  0.998773    Alive
        9     9400  2.83491226E-06 -3.54808558E-04 -2.64785959E-07  2.36244229E-05  1.94167359E-02  2.61204682E-04    -0.012770 -0.004379  0.999909    Alive
       10     9400  1.23191293E-05 -2.59566304E-04  5.93298193E-08 -7.51516269E-05  2.08467318E-02  5.69796440E-04     0.049452  0.002797  0.998773    Alive
       11     9400  8.34262535E-06 -2.41102126E-04 -3.41051174E-06 -1.49463456E-05  2.20897758E-02 -5.82346491E-04     0.084476  0.047633  0.995286    Alive
       13     9400 -1.89914938E-05  9.34758685E-05  5.37611259E-07  1.99670254E-03  1.87162970E-02 -3.95391290E-04     0.042169  0.031700  0.998608    Alive
       15     9400  3.23697740E-05 -1.17714019E-04 -1.12099233E-07 -6.14156911E-05  2.03254741E-02 -3.77912937E-04     0.000057  0.044352  0.999016    Alive
       16     9400 -3.57532024E-06  3.93360578E-04  1.69690149E-07 -3.78998152E-05  1.28092931E-02 -4.38527132E-04     0.025618  0.047773  0.998530    Alive
       17     9400  2.68607862E-05 -1.06899182E-04  1.18323686E-08 -2.81170263E-05  1.77946651E-02  8.66782735E-04     0.030660  0.051403  0.998207    Alive
       20     9400  7.03089367E-06  3.53081165E-05  2.40080886E-07  9.89117236E-04  5.58587454E-03  2.23977321E-04    -0.038922  0.059055  0.997496    Alive
       24     9400  1.63960184E-05  1.39072620E-04 -2.00619833E-06  6.83693317E-04  2.53098551E-02 -1.90612875E-05     0.001171  0.093058  0.995660    Alive
       25     9400  1.38470155E-05 -1.50165237E-04  2.44722645E-07  1.14328491E-04  2.50670534E-02  7.40172702E-05     0.010307  0.004823  0.999935    Alive
