  Index  name               key              s          l      floor.x     floor.y     floor.z     floor.theta floor.phi   floor.psi     spin.x          spin.y          spin.z
     33  ESRE150            Marker               0.150   0.000  7.1685E-12  1.3316E-12 -1.5000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0126730740    0.9999038031   -0.0056371829
     34  ECSRE155           Sad_Mult             0.160   0.010  7.1682E-12  1.3316E-12 -1.6000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0132940427    0.9998903663   -0.0065210359
     35  ESRE160            Marker               0.160   0.000  7.1682E-12  1.3316E-12 -1.6000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0132940427    0.9998903663   -0.0065210359
     36  ECSRE165           Sad_Mult             0.170   0.010  7.1680E-12  1.3316E-12 -1.7000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0139146652    0.9998757756   -0.0074037477
     37  ESRE170            Marker               0.170   0.000  7.1680E-12  1.3316E-12 -1.7000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0139146652    0.9998757756   -0.0074037477
     38  ECSRE175           Sad_Mult             0.180   0.010  7.1677E-12  1.3316E-12 -1.8000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0145349047    0.9998600363   -0.0082851937
     39  ESRE180            Marker               0.180   0.000  7.1677E-12  1.3316E-12 -1.8000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0145349047    0.9998600363   -0.0082851937
     40  ECSRE185           Sad_Mult             0.190   0.010  7.1674E-12  1.3316E-12 -1.9000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0151547222    0.9998431541   -0.0091652435
     41  ESRE190            Marker               0.190   0.000  7.1674E-12  1.3316E-12 -1.9000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0151547222    0.9998431541   -0.0091652435
     42  ECSRE195           Sad_Mult             0.200   0.010  7.1672E-12  1.3316E-12 -2.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0157740763    0.9998251355   -0.0100437549
     43  ESRE200            Marker               0.200   0.000  7.1672E-12  1.3316E-12 -2.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0157740763    0.9998251355   -0.0100437549
     44  ECSRE205           Sad_Mult             0.210   0.010  7.1669E-12  1.3316E-12 -2.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0163929231    0.9998059878   -0.0109205695
     45  ESRE210            Marker               0.210   0.000  7.1669E-12  1.3316E-12 -2.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0163929231    0.9998059878   -0.0109205695
     46  ECSRE215           Sad_Mult             0.220   0.010  7.1666E-12  1.3316E-12 -2.2000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0170112156    0.9997857193   -0.0117955111
     47  ESRE220            Marker               0.220   0.000  7.1666E-12  1.3316E-12 -2.2000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0170112156    0.9997857193   -0.0117955111
     48  ECSRE225           Sad_Mult             0.230   0.010  7.1664E-12  1.3315E-12 -2.3000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0176289033    0.9997643392   -0.0126683821
     49  ESRE230            Marker               0.230   0.000  7.1664E-12  1.3315E-12 -2.3000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0176289033    0.9997643392   -0.0126683821
     50  ECSRE235           Sad_Mult             0.240   0.010  7.1661E-12  1.3315E-12 -2.4000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0182459319    0.9997418579   -0.0135389623
     51  ESRE240            Marker               0.240   0.000  7.1661E-12  1.3315E-12 -2.4000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0182459319    0.9997418579   -0.0135389623
     52  ECSRE245           Sad_Mult             0.250   0.010  7.1658E-12  1.3315E-12 -2.5000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0188622433    0.9997182873   -0.0144070071
     53  ESRE250            Marker               0.250   0.000  7.1658E-12  1.3315E-12 -2.5000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0188622433    0.9997182873   -0.0144070071
     54  ECSRE255           Sad_Mult             0.260   0.010  7.1656E-12  1.3315E-12 -2.6000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0194777747    0.9996936405   -0.0152722457
     55  ESRE260            Marker               0.260   0.000  7.1656E-12  1.3315E-12 -2.6000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0194777747    0.9996936405   -0.0152722457
     56  ECSRE265           Sad_Mult             0.270   0.010  7.1653E-12  1.3315E-12 -2.7000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0200924582    0.9996679322   -0.0161343844
     57  ESRE270            Marker               0.270   0.000  7.1653E-12  1.3315E-12 -2.7000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0200924582    0.9996679322   -0.0161343844
     58  ECSRE275           Sad_Mult             0.280   0.010  7.1650E-12  1.3315E-12 -2.8000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0207062206    0.9996411791   -0.0169931008
     59  ESRE280            Marker               0.280   0.000  7.1650E-12  1.3315E-12 -2.8000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0207062206    0.9996411791   -0.0169931008
     60  ECSRE285           Sad_Mult             0.290   0.010  7.1648E-12  1.3315E-12 -2.9000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0213189823    0.9996133996   -0.0178480320
     61  ESRE290            Marker               0.290   0.000  7.1648E-12  1.3315E-12 -2.9000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0213189823    0.9996133996   -0.0178480320
     62  ECSRE295           Sad_Mult             0.300   0.010  7.1645E-12  1.3315E-12 -3.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0219306561    0.9995846150   -0.0186987665
     63  ESRE300            Marker               0.300   0.000  7.1645E-12  1.3315E-12 -3.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0219306561    0.9995846150   -0.0186987665
     64  ECSRE305           Sad_Mult             0.310   0.010  7.1642E-12  1.3315E-12 -3.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0225411470    0.9995548489   -0.0195448370
     65  ESRE310            Marker               0.310   0.000  7.1642E-12  1.3315E-12 -3.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0225411470    0.9995548489   -0.0195448370
     66  ECSRE315           Sad_Mult             0.320   0.010  7.1640E-12  1.3315E-12 -3.2000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0231503508    0.9995241287   -0.0203857151
     67  ESRE320            Marker               0.320   0.000  7.1640E-12  1.3315E-12 -3.2000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0231503508    0.9995241287   -0.0203857151
     68  ECSRE325           Sad_Mult             0.330   0.010  7.1637E-12  1.3315E-12 -3.3000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0237581539    0.9994924850   -0.0212208064
     69  ESRE330            Marker               0.330   0.000  7.1637E-12  1.3315E-12 -3.3000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0237581539    0.9994924850   -0.0212208064
     70  ECSRE335           Sad_Mult             0.340   0.010  7.1634E-12  1.3315E-12 -3.4000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0243644313    0.9994599525   -0.0220494404
     71  ESRE340            Marker               0.340   0.000  7.1634E-12  1.3315E-12 -3.4000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0243644313    0.9994599525   -0.0220494404
     72  ECSRE345           Sad_Mult             0.350   0.010  7.1632E-12  1.3315E-12 -3.5000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0249690444    0.9994265710   -0.0228708545
